epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,1366.44,1.37911,0.61119,0.81192,0.87542,0.7837,0.82981,0.44962,1.4632,0.72281,0.86317,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1383.8,1.37741,0.61387,0.81085,0.85852,0.82429,0.8258,0.45005,1.46624,0.71955,0.86756,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1402.04,1.36655,0.60877,0.81026,0.85896,0.82152,0.8287,0.4491,1.4649,0.7185,0.86198,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1419.41,1.35928,0.60319,0.81018,0.85673,0.82261,0.82788,0.45173,1.47646,0.7282,0.86585,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1436.59,1.35181,0.60142,0.80665,0.85523,0.8226,0.8334,0.45361,1.47123,0.71812,0.8652,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1454.21,1.34195,0.598,0.80799,0.87516,0.80493,0.82807,0.44974,1.46674,0.71145,0.86627,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1472.06,1.35145,0.60338,0.80753,0.85741,0.80701,0.82875,0.45094,1.46207,0.70306,0.86303,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1489.34,1.34272,0.59403,0.8089,0.85546,0.80787,0.82831,0.4537,1.46661,0.70831,0.86785,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1506.68,1.33182,0.58902,0.80864,0.85577,0.82528,0.8292,0.45379,1.46748,0.71002,0.86938,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,1523.96,1.33627,0.59433,0.8091,0.85753,0.83021,0.83263,0.45446,1.4731,0.71506,0.86919,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1541.32,1.33857,0.5925,0.80778,0.86327,0.82657,0.83331,0.45898,1.45733,0.71806,0.86551,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1558.58,1.33963,0.59261,0.80605,0.84269,0.83137,0.83296,0.45652,1.4723,0.71963,0.86798,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,1576.08,1.32538,0.58573,0.80591,0.86315,0.81201,0.83621,0.45784,1.47753,0.71657,0.86833,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,1593.47,1.33045,0.59021,0.80667,0.85932,0.80893,0.83289,0.45502,1.47478,0.71417,0.86641,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,1611.73,1.33247,0.58964,0.80774,0.84996,0.8306,0.8324,0.45605,1.45995,0.7082,0.86559,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,1631.76,1.32117,0.58053,0.8034,0.8597,0.81508,0.8391,0.45809,1.45837,0.70054,0.86534,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,1650.99,1.30867,0.57691,0.80521,0.85675,0.83777,0.83799,0.45625,1.46361,0.69698,0.86568,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,1668.25,1.31176,0.57918,0.80547,0.86006,0.83792,0.83636,0.45927,1.45192,0.69241,0.86252,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,1687.09,1.29797,0.57105,0.80607,0.86336,0.84126,0.839,0.46058,1.44536,0.69334,0.86228,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,1706.35,1.30334,0.57483,0.80446,0.86228,0.84157,0.84122,0.45959,1.44782,0.69204,0.86268,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,1726.44,1.29088,0.56975,0.80314,0.866,0.83894,0.84063,0.46017,1.4454,0.69109,0.86098,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1745.32,1.28968,0.56653,0.8057,0.85835,0.84092,0.84029,0.45891,1.44766,0.69458,0.86024,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
